"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Belize","BLZ","Americas","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.95,0.896042410895225,0.99,0.79,-0.16,-0.106042410895224,-0.2,FALSE,6999,1470
"Belize","BLZ","Americas","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.95,0.896042410895225,0.99,0.83,-0.12,-0.0660424108952246,-0.16,FALSE,7125,1211
"Belize","BLZ","Americas","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.95,0.896042410895225,0.99,0.84,-0.11,-0.0560424108952245,-0.15,FALSE,7130,1141
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.76648183882503,0.67764117508634,0.855322502563721,0.68,-0.0864818388250304,0.00235882491365991,-0.175322502563721,TRUE,256938,82220
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.779255827712803,0.666856481378512,0.891655174047093,0.7,-0.0792558277128026,0.0331435186214877,-0.191655174047093,TRUE,257599,77280
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.789156106063852,0.664731842995553,0.91358036913215,0.69,-0.0991561060638516,0.0252681570044468,-0.22358036913215,TRUE,258219,80048
"Brazil","BRA","Americas","UMIC",2020,"ARIMA(2,2,1)",0.767391041992989,0.705760822053962,0.829021261932016,0.77,0.002608958007011,0.0642391779460377,-0.0590212619320157,TRUE,2755362,633733
"Brazil","BRA","Americas","UMIC",2021,"ARIMA(2,2,1)",0.654631074518627,0.589024020865502,0.720238128171752,0.68,0.0253689254813729,0.0909759791344982,-0.0402381281717523,TRUE,2729876,873560
"Brazil","BRA","Americas","UMIC",2022,"ARIMA(2,2,1)",0.614344085835588,0.508956159743145,0.719732011928031,0.77,0.155655914164412,0.261043840256855,0.050267988071969,FALSE,2694048,619631
"Barbados","BRB","Americas","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.9055,0.826721971236563,0.984278028763437,0.85,-0.0555,0.0232780287634373,-0.134278028763437,TRUE,3018,453
"Barbados","BRB","Americas","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.9055,0.826721971236563,0.984278028763437,0.82,-0.0855,-0.00672197123656271,-0.164278028763437,FALSE,3017,543
"Barbados","BRB","Americas","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.9055,0.826721971236563,0.984278028763437,0.86,-0.0455,0.0332780287634373,-0.124278028763437,TRUE,3009,421
"Brunei Darussalam","BRN","Asia","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.984364392050377,0.947079994304383,0.99,0.99,0.00563560794962337,0.0429200056956165,0,TRUE,6209,62
