"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Kazakhstan","KAZ","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.9595,0.860073187710801,1.0589268122892,0.88,-0.0794999999999998,-0.178926812289198,0.0199268122891988,FALSE,0.198853624578397
"Kenya","KEN","Eastern & Southern Africa","Lower middle income","Preparatory transition phase",0.91,0.810161577153103,1.0098384228469,0.89,-0.02,-0.119838422846897,0.0798384228468974,FALSE,0.199676845693795
"Kiribati","KIR","East Asia & Pacific","Lower middle income","Fully self-financing",0.926815411575038,0.768847143919512,1.08478367923056,0.92,-0.00681541157503818,-0.164783679230564,0.151152856080488,FALSE,0.315936535311052
"Kyrgyzstan","KGZ","Eastern Europe & Central Asia","Lower middle income","Preparatory transition phase",0.953469585030834,0.918863496417943,0.988075673643726,0.87,-0.0834695850308345,-0.118075673643726,-0.0488634964179431,TRUE,0.0692121772257828
"Lao People's Democratic Republic","LAO","East Asia & Pacific","Lower middle income","Accelerated transition phase",0.8,0.706003149653334,0.893996850346666,0.79,-0.01,-0.103996850346666,0.0839968503466658,FALSE,0.187993700693332
"Latvia","LVA","Western Europe","High income","Never Gavi",0.981638022303634,0.945717777033122,1.01755826757415,0.99,0.00836197769636571,-0.0275582675741468,0.0442822229668781,FALSE,0.0718404905410249
"Lebanon","LBN","Middle East & North Africa","Upper middle income","Never Gavi",0.83,0.807832698145348,0.852167301854652,0.71,-0.12,-0.142167301854652,-0.0978326981453477,TRUE,0.0443346037093046
"Lesotho","LSO","Eastern & Southern Africa","Lower middle income","Preparatory transition phase",0.878188658631,0.823917506264427,0.932459810997573,0.87,-0.00818865863099982,-0.0624598109975726,0.0460824937355729,FALSE,0.108542304733146
"Liberia","LBR","West & Central Africa","Low income","Initial self-financing",0.7,0.512221963172504,0.887778036827496,0.65,-0.0499999999999999,-0.237778036827496,0.137778036827496,FALSE,0.375556073654992
"Libya","LBY","Middle East & North Africa","Upper middle income","Never Gavi",0.764661280605685,0.656549034041025,0.872773527170344,0.73,-0.034661280605685,-0.142773527170344,0.0734509659589745,FALSE,0.216224493129319
"Lithuania","LTU","Western Europe","High income","Never Gavi",0.931993907379336,0.909664432745606,0.954323382013065,0.91,-0.0219939073793357,-0.0443233820130651,0.000335567254393654,FALSE,0.0446589492674587
"Luxembourg","LUX","Western Europe","High income","Never Gavi",0.9895,0.985117387297117,0.993882612702883,0.99,0.000499999999999945,-0.00388261270288293,0.00488261270288282,FALSE,0.00876522540576574
"Madagascar","MDG","Eastern & Southern Africa","Low income","Initial self-financing",0.697013487417753,0.599927380759949,0.794099594075556,0.68,-0.0170134874177527,-0.114099594075556,0.0800726192400509,FALSE,0.194172213315607
"Malawi","MWI","Eastern & Southern Africa","Low income","Initial self-financing",0.889,0.733770956622442,1.04422904337756,0.94,0.0509999999999999,-0.104229043377558,0.206229043377558,FALSE,0.310458086755117
"Malaysia","MYS","East Asia & Pacific","Upper middle income","Never Gavi",0.978693443582734,0.951118411849984,1.00626847531548,0.98,0.00130655641726629,-0.0262684753154832,0.0288815881500157,FALSE,0.0551500634654989
"Maldives","MDV","South Asia","Upper middle income","Never Gavi",0.978899699581268,0.960851990122655,0.99694740903988,0.99,0.0111003004187321,-0.00694740903988034,0.0291480098773446,FALSE,0.0360954189172249
