Country,ISO code,UNICEF Region (unused),UN region,Income group,Gavi eligibility status,Gavi eligibility (binary),ARIMA modelled expected 2020 coverage (mean),ARIMA modelled expected coverage (max 95% CI),ARIMA modelled expected coverage (min 95% CI),ARIMA forecast unreliable,ARIMA coverage 95% CI,WUENIC reported 2020 coverage,Coverage delta,Coverage delta (max 95% CI),Coverage delta (min 95% CI),95% confident actuals outside expected, Surviving infants , Total missed children , Expected missed children , Additional missed children (mean) , Additional missed children (max 95% CI) , Additional missed children (min 95% CI) 
Georgia,GEO,Eastern Europe & Central Asia,Asia,UMIC,Fully self-financing,Not eligible,94.0%,85.0%,103.0%,FALSE,18.0%,88.0%,-6.0%,3.0%,-15.0%,FALSE," 51,021 "," 6,122 "," 3,061 "," 3,061 "," (1,527)"," 7,649 "
Ghana,GHA,West & Central Africa,Africa,LMIC,Preparatory transition phase,Gavi-eligible,97.0%,87.5%,106.5%,FALSE,19.0%,94.0%,-3.0%,6.5%,-12.5%,FALSE," 860,082 "," 51,604 "," 25,802 "," 25,802 "," (55,962)"," 107,567 "
Greece,GRC,Western Europe,Europe,HIC,Never Gavi,Not eligible,99.0%,97.9%,100.1%,FALSE,2.1%,99.0%,0.0%,1.1%,-1.1%,FALSE," 76,072 ", 760 , 760 , -   , (809), 809 
Grenada,GRD,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,95.4%,88.2%,102.7%,FALSE,14.5%,72.0%,-23.4%,-16.2%,-30.7%,TRUE," 1,761 ", 493 , 80 , 412 , 285 , 540 
Guatemala,GTM,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,84.9%,74.7%,95.2%,FALSE,20.5%,83.0%,-1.9%,8.3%,-12.2%,FALSE," 419,559 "," 71,325 "," 63,206 "," 8,118 "," (34,966)"," 51,203 "
Guinea,GIN,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,47.8%,40.1%,55.4%,FALSE,15.3%,47.0%,-0.8%,6.9%,-8.4%,FALSE," 445,239 "," 235,976 "," 232,559 "," 3,417 "," (30,650)"," 37,484 "
Guyana,GUY,Latin America & Caribbean,Americas,UMIC,Fully self-financing,Not eligible,98.8%,94.4%,103.1%,FALSE,8.7%,99.0%,0.2%,4.6%,-4.1%,FALSE," 14,925 ", 149 , 184 , (35), (682), 611 
Haiti,HTI,Latin America & Caribbean,Americas,LMIC,Initial self-financing,Gavi-eligible,38.0%,31.4%,44.6%,TRUE,13.1%,51.0%,13.0%,19.6%,6.4%,TRUE," 255,229 "," 125,062 "," 158,241 "," (33,179)"," (49,937)"," (16,421)"
Honduras,HND,Latin America & Caribbean,Americas,LMIC,Fully self-financing,Not eligible,89.7%,85.1%,94.3%,FALSE,9.3%,80.0%,-9.7%,-5.1%,-14.3%,TRUE," 205,825 "," 41,164 "," 21,179 "," 19,985 "," 10,456 "," 29,513 "
India,IND,South Asia,Asia,LMIC,Accelerated transition phase,Gavi-eligible,92.7%,89.3%,96.2%,FALSE,6.9%,85.0%,-7.7%,-4.3%,-11.2%,TRUE," 23,368,880 "," 3,505,332 "," 1,697,318 "," 1,808,013 "," 1,002,397 "," 2,613,629 "
Indonesia,IDN,East Asia & Pacific,Asia,LMIC,Fully self-financing,Not eligible,85.0%,79.3%,90.7%,FALSE,11.4%,77.0%,-8.0%,-2.3%,-13.7%,TRUE," 4,689,610 "," 1,078,610 "," 703,441 "," 375,168 "," 108,436 "," 641,901 "
Iran (Islamic Republic of),IRN,Middle East & North Africa,Asia,LMIC,Never Gavi,Not eligible,98.5%,96.3%,100.7%,FALSE,4.3%,99.0%,0.5%,2.7%,-1.7%,FALSE," 1,485,489 "," 14,854 "," 22,282 "," (7,427)"," (39,460)"," 24,606 "
Iraq,IRQ,Middle East & North Africa,Asia,UMIC,Never Gavi,Not eligible,81.3%,70.1%,92.5%,FALSE,22.4%,74.0%,-7.3%,3.9%,-18.5%,FALSE," 1,110,719 "," 288,786 "," 207,963 "," 80,822 "," (43,799)"," 205,445 "
Ireland,IRL,Western Europe,Europe,HIC,Never Gavi,Not eligible,94.4%,92.2%,96.5%,FALSE,4.3%,94.0%,-0.4%,1.8%,-2.5%,FALSE," 59,191 "," 3,551 "," 3,341 ", 210 ," (1,061)"," 1,481 "
Israel,ISR,Middle East & North Africa,Asia,HIC,Never Gavi,Not eligible,98.0%,94.7%,101.3%,FALSE,6.7%,98.0%,0.0%,3.3%,-3.3%,FALSE," 169,839 "," 3,396 "," 3,396 ", -   ," (5,664)"," 5,664 "
Italy,ITA,Western Europe,Europe,HIC,Never Gavi,Not eligible,95.6%,91.9%,99.2%,FALSE,7.3%,94.0%,-1.6%,2.1%,-5.2%,FALSE," 436,862 "," 26,211 "," 19,408 "," 6,803 "," (9,245)"," 22,852 "
Jamaica,JAM,Latin America & Caribbean,Americas,UMIC,Never Gavi,Not eligible,94.7%,88.8%,100.7%,FALSE,11.9%,96.0%,1.3%,7.2%,-4.7%,FALSE," 45,942 "," 1,837 "," 2,411 ", (574)," (3,312)"," 2,164 "
Japan,JPN,East Asia & Pacific,Asia,HIC,Never Gavi,Not eligible,97.5%,92.4%,102.6%,FALSE,10.2%,96.0%,-1.5%,3.6%,-6.6%,FALSE," 907,427 "," 36,297 "," 22,897 "," 13,399 "," (32,696)"," 59,495 "
Jordan,JOR,Middle East & North Africa,Asia,UMIC,Never Gavi,Not eligible,96.7%,91.5%,101.9%,TRUE,10.3%,77.0%,-19.7%,-14.5%,-24.9%,TRUE," 210,916 "," 48,510 "," 6,960 "," 41,550 "," 30,646 "," 52,454 "
Kazakhstan,KAZ,Eastern Europe & Central Asia,Asia,UMIC,Never Gavi,Not eligible,95.9%,86.0%,105.9%,FALSE,19.9%,88.0%,-7.9%,2.0%,-17.9%,FALSE," 365,668 "," 43,880 "," 14,809 "," 29,070 "," (7,286)"," 65,427 "
Kenya,KEN,Eastern & Southern Africa,Africa,LMIC,Preparatory transition phase,Gavi-eligible,91.0%,81.0%,101.0%,FALSE,20.0%,89.0%,-2.0%,8.0%,-12.0%,FALSE," 1,455,333 "," 160,086 "," 130,979 "," 29,106 "," (116,191)"," 174,404 "
Kiribati,KIR,East Asia & Pacific,Oceania,LMIC,Fully self-financing,Not eligible,92.7%,76.9%,108.5%,FALSE,31.6%,92.0%,-0.7%,15.1%,-16.5%,FALSE," 3,104 ", 248 , 227 , 21 , (469), 511 
Kyrgyzstan,KGZ,Eastern Europe & Central Asia,Asia,LMIC,Preparatory transition phase,Gavi-eligible,95.3%,91.9%,98.8%,FALSE,6.9%,87.0%,-8.3%,-4.9%,-11.8%,TRUE," 148,413 "," 19,293 "," 6,905 "," 12,387 "," 7,251 "," 17,523 "
Lao People's Democratic Republic,LAO,East Asia & Pacific,Asia,LMIC,Accelerated transition phase,Gavi-eligible,80.0%,70.6%,89.4%,FALSE,18.8%,79.0%,-1.0%,8.4%,-10.4%,FALSE," 158,882 "," 33,365 "," 31,776 "," 1,588 "," (13,345)"," 16,523 "
Latvia,LVA,Western Europe,Europe,HIC,Never Gavi,Not eligible,98.2%,94.6%,101.8%,FALSE,7.2%,99.0%,0.8%,4.4%,-2.8%,FALSE," 19,599 ", 195 , 359 , (163), (867), 540 
