"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Switzerland","CHE","ARIMA(0,1,0) with drift","96.2%","95.4%","96.9%"
"Syrian Arab Republic","SYR","ARIMA(0,1,0)","54.0%","40.4%","67.6%"
"Tajikistan","TJK","ARIMA(0,1,0)","97.0%","92.8%","101.2%"
"Thailand","THA","ARIMA(1,0,0) with non-zero mean","97.2%","95.8%","98.6%"
"Togo","TGO","ARIMA(0,1,0)","84.0%","72.7%","95.3%"
"Tonga","TON","ARIMA(1,0,0) with non-zero mean","98.1%","93.6%","102.6%"
"Trinidad and Tobago","TTO","ARIMA(0,0,0) with non-zero mean","92.3%","86.6%","98.1%"
"Tunisia","TUN","ARIMA(0,1,0)","92.0%","89.3%","94.7%"
"Turkey","TUR","ARIMA(0,1,0)","99.0%","88.2%","109.8%"
"Turkmenistan","TKM","ARIMA(0,0,0) with non-zero mean","96.9%","90.1%","103.6%"
"Tuvalu","TUV","ARIMA(0,0,0) with non-zero mean","93.4%","84.8%","102.1%"
"Uganda","UGA","ARIMA(1,1,0) with drift","96.2%","91.4%","101.0%"
"Ukraine","UKR","ARIMA(0,1,0)","80.0%","45.9%","114.1%"
"United Arab Emirates","ARE","ARIMA(0,1,0)","99.0%","96.9%","101.1%"
"United Kingdom","GBR","ARIMA(0,1,0)","93.0%","91.7%","94.3%"
"United Republic of Tanzania","TZA","ARIMA(1,0,0) with non-zero mean","89.0%","81.6%","96.4%"
"United States","USA","ARIMA(1,0,0) with non-zero mean","94.3%","92.9%","95.8%"
"Uruguay","URY","ARIMA(0,0,1) with non-zero mean","94.9%","92.1%","97.7%"
"Uzbekistan","UZB","ARIMA(0,0,1) with non-zero mean","96.8%","95.1%","98.6%"
"Vanuatu","VUT","ARIMA(0,1,0) with drift","91.0%","86.3%","95.7%"
"Venezuela (Bolivarian Republic of)","VEN","ARIMA(0,0,1) with non-zero mean","71.4%","52.3%","90.4%"
"Viet Nam","VNM","ARIMA(0,0,0) with non-zero mean","91.1%","71.6%","110.6%"
"Yemen","YEM","ARIMA(2,0,1) with non-zero mean","76.4%","69.6%","83.3%"
"Zambia","ZMB","ARIMA(0,0,1) with non-zero mean","86.3%","78.9%","93.7%"
"Zimbabwe","ZWE","ARIMA(0,1,0)","90.0%","81.1%","98.9%"
