"Country","ISO code","Region","Income group","Gavi eligibility status","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (lower bound)","ARIMA modelled expected coverage (upper bound)","WUENIC reported 2020 coverage","Coverage delta","cov_delta_high","cov_delta_low","confident_95","ci_width","un_region","Data unreliable flag","Surviving infants","Additional missed children (mean)","Additional missed children (lower bound)","Additional missed children (upper bound)","Expected missed children","Total missed children"
"Greece","GRC","Western Europe","HIC","Never Gavi","99.0%",0.979358798823176,1.00064192329969,"99.0%","0.0%",-0.0106419232996859,0.0106412011768241,FALSE,0.02128312447651,"Europe",FALSE,76072,0,-809,809,760,760
"Grenada","GRD","Latin America & Caribbean","UMIC","Never Gavi","95.4%",0.88214321725975,1.02685678274025,"72.0%","-23.4%",-0.30685678274025,-0.16214321725975,TRUE,0.1447135654805,"Americas",FALSE,1761,412,285,540,80,493
"Guatemala","GTM","Latin America & Caribbean","UMIC","Never Gavi","84.9%",0.746658618519299,0.952040247717329,"83.0%","-1.9%",-0.122040247717329,0.0833413814807008,FALSE,0.205381629198029,"Americas",FALSE,419559,8118,-34966,51203,63206,71325
"Guinea","GIN","West & Central Africa","LIC","Initial self-financing","47.8%",0.401160407036986,0.55418958757791,"47.0%","-0.8%",-0.0841895875779097,0.0688395929630141,FALSE,0.153029180540924,"Africa",FALSE,445239,3417,-30650,37484,232559,235976
"Guyana","GUY","Latin America & Caribbean","UMIC","Fully self-financing","98.8%",0.944284459286915,1.03095571687964,"99.0%","0.2%",-0.0409557168796413,0.0457155407130847,FALSE,0.086671257592726,"Americas",FALSE,14925,-35,-682,611,184,149
"Haiti","HTI","Latin America & Caribbean","LMIC","Initial self-financing","38.0%",0.314341536594615,0.445658463405385,"51.0%","13.0%",0.0643415365946152,0.195658463405385,TRUE,0.13131692681077,"Americas",TRUE,255229,-33179,-49937,-16421,158241,125062
"Honduras","HND","Latin America & Caribbean","LMIC","Fully self-financing","89.7%",0.850801511276644,0.94339305159691,"80.0%","-9.7%",-0.14339305159691,-0.0508015112766441,TRUE,0.0925915403202655,"Americas",FALSE,205825,19985,10456,29513,21179,41164
"India","IND","South Asia","LMIC","Accelerated transition phase","92.7%",0.892894537057284,0.961842305047972,"85.0%","-7.7%",-0.111842305047972,-0.0428945370572842,TRUE,0.0689477679906878,"Asia",FALSE,23368880,1808013,1002397,2613629,1697318,3505332
"Indonesia","IDN","East Asia & Pacific","LMIC","Fully self-financing","85.0%",0.793122707357008,0.906877292642992,"77.0%","-8.0%",-0.136877292642992,-0.0231227073570076,TRUE,0.113754585285985,"Asia",FALSE,4689610,375168,108436,641901,703441,1078610
"Iran (Islamic Republic of)","IRN","Middle East & North Africa","LMIC","Never Gavi","98.5%",0.963435707770769,1.00656429222921,"99.0%","0.5%",-0.0165642922292086,0.0265642922292307,FALSE,0.0431285844584394,"Asia",FALSE,1485489,-7427,-39460,24606,22282,14854
"Iraq","IRQ","Middle East & North Africa","UMIC","Never Gavi","81.3%",0.700566602104267,0.924966114863749,"74.0%","-7.3%",-0.184966114863749,0.0394333978957331,FALSE,0.224399512759482,"Asia",FALSE,1110719,80822,-43799,205445,207963,288786
"Ireland","IRL","Western Europe","HIC","Never Gavi","94.4%",0.922064089681332,0.965033759415599,"94.0%","-0.4%",-0.0250337594155988,0.0179359103186679,FALSE,0.0429696697342667,"Europe",FALSE,59191,210,-1061,1481,3341,3551
"Israel","ISR","Middle East & North Africa","HIC","Never Gavi","98.0%",0.946650695589806,1.01334930441019,"98.0%","0.0%",-0.0333493044101945,0.0333493044101945,FALSE,0.0666986088203889,"Asia",FALSE,169839,0,-5664,5664,3396,3396
"Italy","ITA","Western Europe","HIC","Never Gavi","95.6%",0.918836510176721,0.992310037255179,"94.0%","-1.6%",-0.0523100372551788,0.0211634898232789,FALSE,0.0734735270784577,"Europe",FALSE,436862,6803,-9245,22852,19408,26211
"Jamaica","JAM","Latin America & Caribbean","UMIC","Never Gavi","94.7%",0.887890022570529,1.00710997742947,"96.0%","1.3%",-0.047109977429471,0.0721099774294712,FALSE,0.119219954858942,"Americas",FALSE,45942,-574,-3312,2164,2411,1837
"Japan","JPN","East Asia & Pacific","HIC","Never Gavi","97.5%",0.923967855187422,1.02556545737637,"96.0%","-1.5%",-0.0655654573763702,0.0360321448125778,FALSE,0.101597602188948,"Asia",FALSE,907427,13399,-32696,59495,22897,36297
"Jordan","JOR","Middle East & North Africa","UMIC","Never Gavi","96.7%",0.915300419624219,1.01869958037575,"77.0%","-19.7%",-0.248699580375752,-0.145300419624219,TRUE,0.103399160751533,"Asia",TRUE,210916,41550,30646,52454,6960,48510
"Kazakhstan","KAZ","Eastern Europe & Central Asia","UMIC","Never Gavi","95.9%",0.860073187710801,1.0589268122892,"88.0%","-7.9%",-0.178926812289198,0.0199268122891988,FALSE,0.198853624578397,"Asia",FALSE,365668,29070,-7286,65427,14809,43880
"Kenya","KEN","Eastern & Southern Africa","LMIC","Preparatory transition phase","91.0%",0.810161577153103,1.0098384228469,"89.0%","-2.0%",-0.119838422846897,0.0798384228468974,FALSE,0.199676845693795,"Africa",FALSE,1455333,29106,-116191,174404,130979,160086
"Kiribati","KIR","East Asia & Pacific","LMIC","Fully self-financing","92.7%",0.768847143919512,1.08478367923056,"92.0%","-0.7%",-0.164783679230564,0.151152856080488,FALSE,0.315936535311052,"Oceania",FALSE,3104,21,-469,511,227,248
"Kyrgyzstan","KGZ","Eastern Europe & Central Asia","LMIC","Preparatory transition phase","95.3%",0.918863496417943,0.988075673643726,"87.0%","-8.3%",-0.118075673643726,-0.0488634964179431,TRUE,0.0692121772257828,"Asia",FALSE,148413,12387,7251,17523,6905,19293
"Lao People's Democratic Republic","LAO","East Asia & Pacific","LMIC","Accelerated transition phase","80.0%",0.706003149653334,0.893996850346666,"79.0%","-1.0%",-0.103996850346666,0.0839968503466658,FALSE,0.187993700693332,"Asia",FALSE,158882,1588,-13345,16523,31776,33365
