"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Saint Lucia","LCA","ARIMA(0,0,0) with non-zero mean","96.4%","85.2%","107.6%"
"Saint Vincent and the Grenadines","VCT","ARIMA(0,0,0) with non-zero mean","98.8%","97.8%","99.8%"
"Samoa","WSM","ARIMA(0,0,0) with non-zero mean","86.3%","61.0%","111.7%"
"San Marino","SMR","ARIMA(1,1,0)","92.1%","87.0%","97.1%"
"Sao Tome and Principe","STP","ARIMA(2,0,2) with non-zero mean","97.0%","93.8%","100.2%"
"Saudi Arabia","SAU","ARIMA(0,0,0) with non-zero mean","97.4%","95.1%","99.8%"
"Senegal","SEN","ARIMA(0,1,0)","97.0%","87.6%","106.4%"
"Serbia","SRB","ARIMA(0,0,0) with non-zero mean","96.9%","92.6%","101.3%"
"Seychelles","SYC","ARIMA(0,0,0) with non-zero mean","98.8%","98.1%","99.6%"
"Sierra Leone","SLE","ARIMA(0,1,0)","95.0%","78.3%","111.7%"
"Singapore","SGP","ARIMA(1,0,0) with non-zero mean","97.8%","96.5%","99.2%"
"Slovakia","SVK","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Slovenia","SVN","ARIMA(1,0,0) with non-zero mean","97.9%","96.6%","99.2%"
"Solomon Islands","SLB","ARIMA(0,0,0) with non-zero mean","90.7%","79.7%","101.7%"
"Somalia","SOM","ARIMA(0,0,0) with non-zero mean","52.6%","41.4%","63.9%"
"South Africa","ZAF","ARIMA(0,0,1) with non-zero mean","86.3%","76.9%","95.7%"
"Spain","ESP","ARIMA(0,0,0) with non-zero mean","97.9%","97.5%","98.4%"
"Sri Lanka","LKA","ARIMA(0,0,0) with non-zero mean","98.9%","97.9%","99.8%"
"State of Palestine","PSE","ARIMA(2,0,0) with non-zero mean","98.8%","97.5%","100.2%"
"Sudan","SDN","ARIMA(1,1,0) with drift","98.7%","92.7%","104.6%"
"Suriname","SUR","ARIMA(0,1,0)","81.0%","70.3%","91.7%"
"Sweden","SWE","ARIMA(0,0,0) with non-zero mean","99.0%","98.5%","99.4%"
"Switzerland","CHE","ARIMA(0,1,1) with drift","98.2%","96.8%","99.7%"
"Syrian Arab Republic","SYR","ARIMA(0,1,0)","72.0%","60.4%","83.6%"
"Tajikistan","TJK","ARIMA(0,1,0)","98.0%","94.0%","102.0%"
"Thailand","THA","ARIMA(0,1,0)","99.0%","98.5%","99.5%"
"Togo","TGO","ARIMA(0,1,0)","90.0%","78.7%","101.3%"
