"Country","ISO code","UNICEF Region (unused)","UN region","Income group","Gavi eligibility status","Gavi eligibility (binary)","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (max 95% CI)","ARIMA modelled expected coverage (min 95% CI)","ARIMA forecast unreliable","ARIMA coverage 95% CI","WUENIC reported 2020 coverage","Coverage delta","Coverage delta (max 95% CI)","Coverage delta (min 95% CI)","95% confident actuals outside expected","Surviving infants","Total missed children","Expected missed children","Additional missed children (mean)","Additional missed children (max 95% CI)","Additional missed children (min 95% CI)"
"Equatorial Guinea","GNQ","West & Central Africa","Africa","UMIC","Never Gavi","Not eligible","53.0%",0.442810152016495,0.617189847983505,FALSE,0.17437969596701,"53.0%","0.0%",0.0871898479835049,-0.0871898479835049,FALSE,42590,20017,20017,0,-3713,3713
"Eritrea","ERI","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","94.8%",0.911476963278648,0.985061378359223,FALSE,0.0735844150805753,"95.0%","0.2%",0.038523036721352,-0.0350613783592233,FALSE,100941,5047,5221,-174,-3888,3539
"Estonia","EST","Western Europe","Europe","HIC","Never Gavi","Not eligible","91.0%",0.894418173441224,0.925581826558776,FALSE,0.0311636531175521,"91.0%","0.0%",0.015581826558776,-0.015581826558776,FALSE,13378,1204,1204,0,-208,208
"Eswatini","SWZ","Eastern & Southern Africa","Africa","LMIC","Never Gavi","Not eligible","90.0%",0.855485657560597,0.944514342439403,FALSE,0.0890286848788053,"83.0%","-7.0%",-0.0254856575605974,-0.114514342439403,TRUE,28357,4820,2835,1984,722,3247
"Ethiopia","ETH","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","70.0%",0.657659741206963,0.742340258793037,FALSE,0.0846805175860741,"71.0%","1.0%",0.0523402587930369,-0.0323402587930371,FALSE,3499225,1014775,1049767,-34992,-183150,113165
"Fiji","FJI","East Asia & Pacific","Oceania","UMIC","Never Gavi","Not eligible","99.0%",0.979653913714666,1.00034608628533,FALSE,0.0206921725706672,"99.0%","0.0%",0.0103460862853337,-0.0103460862853335,FALSE,18112,181,181,0,-187,187
"Finland","FIN","Western Europe","Europe","HIC","Never Gavi","Not eligible","91.0%",0.879500236769494,0.940499763230506,FALSE,0.0609995264610117,"91.0%","0.0%",0.0304997632305058,-0.0304997632305058,FALSE,49030,4412,4412,0,-1495,1495
"Gabon","GAB","West & Central Africa","Africa","UMIC","Never Gavi","Not eligible","70.0%",0.510987809984969,0.889012190015031,FALSE,0.378024380030062,"63.0%","-7.0%",0.119012190015031,-0.259012190015031,FALSE,65052,24069,19515,4553,-7741,16849
"Georgia","GEO","Eastern Europe & Central Asia","Asia","UMIC","Fully self-financing","Not eligible","94.0%",0.850069965394403,1.0299300346056,FALSE,0.179860069211194,"88.0%","-6.0%",0.0299300346055971,-0.149930034605597,FALSE,51021,6122,3061,3061,-1527,7649
"Germany","DEU","Western Europe","Europe","HIC","Never Gavi","Not eligible","93.1%",0.905790075968769,0.956232258707838,FALSE,0.0504421827390689,"93.0%","-0.1%",0.024209924031231,-0.0262322587078379,FALSE,787801,55146,54349,796,-19072,20665
"Ghana","GHA","West & Central Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","97.0%",0.874933213473776,1.06506678652622,FALSE,0.190133573052448,"94.0%","-3.0%",0.0650667865262242,-0.125066786526224,FALSE,860082,51604,25802,25802,-55962,107567
