unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
MENA,IRN,Iran (Islamic Republic of),DTP1,98,99,99,99,99,99,99,99,98,99,99,99,99,99,99,98,97,99,99,99,96,99,99,99,99,99,98,98,99,98,96,97,94,96,80,80,75,58,58,66,54,57
MENA,IRQ,Iraq,DTP1,89,90,93,95,89,71,80,84,85,90,92,86,88,81,68,76,84,86,87,89,90,92,93,79,89,88,86,84,82,86,90,93,97,98,98,98,98,81,39,41,35,36
Non-programme,IRL,Ireland,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,95,94,94,95,95,94,90,90,90,88,88,87,86,85,85,68,69,69,70,70,67,68,61,59
Non-programme,ISR,Israel,DTP1,99,99,99,99,99,94,95,95,96,94,94,95,96,94,95,95,93,95,95,95,95,95,95,95,95,97,98,98,98,98,97,97,97,97,97,97,95,95,96,97,97,94
Non-programme,ITA,Italy,DTP1,94,94,98,95,95,95,95,96,96,99,96,96,96,96,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,94,,,,,,,,,,
LACR,JAM,Jamaica,DTP1,93,97,97,99,95,99,97,97,97,98,94,98,91,97,97,96,99,99,98,99,99,97,96,92,96,97,96,97,97,95,95,95,95,94,93,90,82,80,75,59,64,48
Non-programme,JPN,Japan,DTP1,98,98,99,99,99,99,98,98,98,99,99,99,99,99,99,99,99,99,99,98,98,88,88,88,88,99,90,93,95,95,97,96,95,95,95,94,94,94,93,93,91,82
MENA,JOR,Jordan,DTP1,78,78,90,98,99,99,99,98,99,98,98,98,98,98,99,99,98,96,98,96,99,91,86,99,99,99,99,95,93,97,97,97,97,97,96,96,95,93,91,91,93,55
ECAR,KAZ,Kazakhstan,DTP1,98,94,99,99,99,93,99,96,99,99,99,99,98,99,97,99,99,85,99,96,96,98,98,99,98,98,97,91,91,93,,,,,,,,,,,,
ESAR,KEN,Kenya,DTP1,99,94,97,97,93,96,96,97,95,98,98,93,92,90,89,90,85,87,89,90,84,83,89,93,96,96,96,96,96,96,92,92,92,92,91,89,88,80,,,,
